,age,dsl,dt,fwf
5.08,5.075,-0.008932742708599672,315359999.9999933,10253.845955457731
5.1,5.09,-0.015541884224748337,630719999.9999866,8920.22147602584
5.11,5.105,-0.0030084063683695206,315360000.0000213,3453.3330331991788
5.13,5.12,-0.020586314383941318,630719999.9999866,11815.458217571846
5.14,5.135,-0.015350394609098483,315359999.9999933,17620.633081220727
5.15,5.145,-0.015220432259088312,315360000.0000213,17471.450018358693
5.16,5.155,-0.013390655007458285,315359999.9999933,15371.05883022578
5.18,5.17,-0.03030521379437401,630719999.9999866,17393.593660520713
5.21,5.195,-0.039209370910477936,946080000.000008,15002.740010985215
5.24,5.225,-0.03193336473836528,946080000.000008,12218.710928555865
5.25,5.245,-0.005878757785240385,315359999.9999933,6748.193551043456
5.26,5.255,-0.0035592607380556807,315359999.9999933,4085.6557178341695
5.27,5.265,-0.00900706938910556,315359999.9999933,10339.165140969944
5.32,5.295,-0.020725506873616073,1576800000.0000222,4758.138944855982
5.33,5.325,-0.0024572949268000244,315359999.9999933,2820.715257171574
5.37,5.35,-0.021099928982649896,1261440000.000001,6055.1229481539
5.41,5.390000000000001,-0.018248117207710024,1261440000.000001,5236.728206804147
5.42,5.415,0.0026302330229417414,315359999.9999933,-3019.2299413525197
5.43,5.425,-0.002086443459353049,315359999.9999933,2395.0169085674142
5.44,5.4350000000000005,0.0032256998054474018,315360000.0000213,-3702.7629679473634
5.45,5.445,0.005325984779947834,315359999.9999933,-6113.66847520661
5.46,5.455,0.00800457173582636,315359999.9999933,-9188.40362877094
5.47,5.465,0.008100167972500572,315359999.9999933,-9298.138020184137
5.48,5.475,0.01007119961705838,315360000.0000213,-11560.674344796067
5.5,5.49,0.035730071613250924,630719999.9999866,-20507.17580542413
5.56,5.529999999999999,0.11467270385685335,1892159999.9999878,-21938.69376595065
5.6,5.58,0.07824386767366187,1261440000.000001,-22453.925749830018
5.63,5.615,0.02923939545423737,946080000.000008,-11187.913447524352
5.68,5.654999999999999,0.020033606018864836,1576799999.9999943,-4599.293111890599
5.69,5.6850000000000005,-0.0058207957880305194,315360000.0000213,6681.659294986383
